latitude,longitude,altitude,geometry,coordinates,@id,access,addr:street,amenity,bicycle,bus,capacity,charge,fee,hgv,motor_vehicle,opening_hours,operator,parking:fee,payment:nfc,socket:type2_combo,socket:type2_combo:output,image,payment:cards,addr:city,addr:housenumber,addr:postcode,brand,brand:wikidata,motorcar,name,operator:wikidata,ref,socket:ccs,socket:ccs:output,socket:chademo,socket:chademo:output,source,website,atmotorway,authentication:app,authentication:membership_card,brand:website
,,,Polygon,"5.8263524,50.9812882,5.826341,50.9812884,5.8262736,50.9810882,5.8265834,50.9810178,5.8267146,50.9812468,5.8266752,50.9812522,5.8263524,50.9812882",way/1080286070,yes,Industrieweg,charging_station,yes,yes,6,0.71 EUR / kWh,yes,yes,yes,24/7,LEAP24,no,yes,6,120kW,,,,,,,,,,,,,,,,,,,,,
52.3457638,5.1779989,,Point,,node/9713834034,yes,,charging_station,,yes,4,0.59 EUR / kWh,yes,yes,yes,24/7,LEAP24,,,,160kW,https://www.dropbox.com/home/Kayan%20Lam/Perskit%20Leap24/Foto's/Almere%20Transistorstraat%2054?preview=DSC_7349.JPG,yes,,,,,,,,,,,,,,,,,,,
51.9874449,4.354621,,Point,,node/9738974738,yes,Kruithuisweg,charging_station,,,2,,yes,,,,Circle K,,,,,,,Delft,10,2623BZ,Circle K,Q3268010,yes,Circle K,Q3268010,NN001655-10,1,175kW,1,175kW,survey,https://www.circlek.nl/,,,,
52.2090153,6.0977353,,Point,,node/12098732011,,Rijksweg A1 De Paal,charging_station,,,9,,yes,,,24/7,Fastned,,,,,,,Wilp,932,7384DZ,Fastned,Q19935749,yes,Fastned De Paal,Q19935749,,6,300 kW,3,50 kW,,,yes,yes,yes,https://fastnedcharging.com/nl/
